pzn,name,active_ingredient,dosage_form,strength,prescription_only,price,manufacturer,atc_code
00000043,Curalin Paracetamol,Paracetamol,injection,1ml,true,46.76,Vitalis Biotech,N02BE01
00000044,Pharmatec Fluoxetine,Fluoxetine,tablet,250mg,false,16.30,Sonnenberg Medica,N06AB03
00000045,Medo Amlodipine,Amlodipine,spray,100mcg,true,84.65,Vitalis Biotech,C08CA01
00000046,Curalin Diazepam,Diazepam,tablet,800mg,true,26.33,Greenfield Pharmaceuticals,N05BA01
00000047,Sanavia Enalapril,Enalapril,capsule,500mg,false,24.47,Nordhealth Pharma,C09AA02
00000048,Rekura Amoxicillin,Amoxicillin,drops,10ml,true,2.81,Vitalis Biotech,J01CA04
00000049,Vitapharm Diazepam,Diazepam,capsule,500mg,false,51.57,Blauberg Labs,N05BA01
00000050,Biovex Amoxicillin,Amoxicillin,drops,15ml,true,75.52,Vitalis Biotech,J01CA04
00000051,Medo Metoprolol,Metoprolol,capsule,250mg,false,81.15,Nordhealth Pharma,C07AB02
00000052,Pharmatec Fluoxetine,Fluoxetine,capsule,800mg,true,33.44,Alpenrose Labs,N06AB03
00000053,Biovex Amlodipine,Amlodipine,drops,5ml,true,87.91,Vitalis Biotech,C08CA01
00000054,Biovex Metoprolol,Metoprolol,tablet,800mg,false,70.95,Alpenrose Labs,C07AB02
00000055,Biovex Salbutamol,Salbutamol,solution,20mg/ml,true,35.97,Nordhealth Pharma,R03AC02
00000056,Pharmatec Diclofenac,Diclofenac,capsule,400mg,false,29.20,Greenfield Pharmaceuticals,M01AB05
00000057,Pharmatec Salbutamol,Salbutamol,tablet,400mg,false,26.87,Blauberg Labs,R03AC02
00000058,Rekura Diazepam,Diazepam,solution,20mg/ml,false,84.67,Blauberg Labs,N05BA01
00000059,Sanavia Diazepam,Diazepam,capsule,100mg,true,54.69,Rheinquell Pharma,N05BA01
00000060,Curalin Enalapril,Enalapril,injection,2ml,true,24.79,Alpenrose Labs,C09AA02
00000061,Pharmatec Paracetamol,Paracetamol,cream,2%,false,8.62,Rheinquell Pharma,N02BE01
00000062,Curalin Amlodipine,Amlodipine,solution,20mg/ml,false,46.87,Alpenrose Labs,C08CA01
00000063,Sanavia Enalapril,Enalapril,injection,5ml,true,19.28,Alpenrose Labs,C09AA02
00000064,Sanavia Atorvastatin,Atorvastatin,cream,2%,true,29.09,Greenfield Pharmaceuticals,C10AA05
00000065,Novapex Metoprolol,Metoprolol,spray,100mcg,false,41.18,Greenfield Pharmaceuticals,C07AB02
00000066,Biovex Morphine,Morphine,injection,5ml,true,27.33,Rheinquell Pharma,N02AA01
00000067,Pharmatec Amoxicillin,Amoxicillin,spray,100mcg,true,73.07,Vitalis Biotech,J01CA04
00000068,Pharmatec Paracetamol,Paracetamol,tablet,400mg,true,42.34,Greenfield Pharmaceuticals,N02BE01
00000069,Rekura Erythromycin,Erythromycin,injection,1ml,true,59.90,Nordhealth Pharma,J01FA01
00000070,Rekura Metformin,Metformin,spray,50mcg,true,72.85,Nordwind Biosciences,A10BA02
00000071,Pharmatec Ibuprofen,Ibuprofen,cream,1%,false,14.17,Nordwind Biosciences,M01AE01
00000072,Novapex Morphine,Morphine,cream,2%,false,75.17,Nordwind Biosciences,N02AA01
00000073,Vitapharm Atorvastatin,Atorvastatin,drops,10ml,false,68.27,Sonnenberg Medica,C10AA05
00000074,Pharmatec Morphine,Morphine,injection,2ml,false,9.28,Sonnenberg Medica,N02AA01
00000075,Novapex Salbutamol,Salbutamol,solution,10mg/ml,true,14.61,Greenfield Pharmaceuticals,R03AC02
00000076,Biovex Erythromycin,Erythromycin,drops,15ml,true,8.12,Alpenrose Labs,J01FA01
00000077,Vitapharm Enalapril,Enalapril,cream,2%,true,20.60,Alpenrose Labs,C09AA02
00000078,Medo Erythromycin,Erythromycin,spray,100mcg,false,3.02,Rheinquell Pharma,J01FA01
00000079,Rekura Loratadine,Loratadine,spray,100mcg,true,45.22,Sonnenberg Medica,R06AX13
00000080,Medo Metoprolol,Metoprolol,injection,2ml,false,61.02,Alpenrose Labs,C07AB02
